time_start	date_start	test_file	Pre_total_node_count	Pre_tot_phi_node_count	Pre_tot_lambda_node_count	Pre_tot_apply_node_count	Pre_tot_lambdas_inside_phis	Pre_lambdas_exported	Pre_Max_NC_for_exported_lambdas	Pre_Avg_NC_for_exported_lambdas	Pre_Min_NC_for_exported_lambdas	Pre_Max_SCC_for_exported_lambdas	Pre_Avg_SCC_for_exported_lambdas	Pre_Min_SCC_for_exported_lambdas	Pre_Max_NC	Pre_Avg_NC	Pre_Min_NC	Pre_Max_SCC	Pre_Avg_SCC	Pre_Min_SCC	Pre_Max_CIN	Pre_Avg_CIN	Pre_Min_CIN	Pre_Max_PC	Pre_Avg_PC	Pre_Min_PC	Pre_Max_CPC	Pre_Avg_CPC	Pre_Min_CPC	Pre_Max_LND	Pre_Avg_LND	Pre_Min_LND	loop_breakers_size	static_known_applies	static_known_applies_minus_loop_breakers	inlines_performed	applies_after_inlining	wall_clock_ms	Post_total_node_count	Post_tot_phi_node_count	Post_tot_lambda_node_count	Post_tot_apply_node_count	Post_tot_lambdas_inside_phis	Post_lambdas_exported	Post_Max_NC_for_exported_lambdas	Post_Avg_NC_for_exported_lambdas	Post_Min_NC_for_exported_lambdas	Post_Max_SCC_for_exported_lambdas	Post_Avg_SCC_for_exported_lambdas	Post_Min_SCC_for_exported_lambdas	Post_Max_NC	Post_Avg_NC	Post_Min_NC	Post_Max_SCC	Post_Avg_SCC	Post_Min_SCC	Post_Max_CIN	Post_Avg_CIN	Post_Min_CIN	Post_Max_PC	Post_Avg_PC	Post_Min_PC	Post_Max_CPC	Post_Avg_CPC	Post_Min_CPC	Post_Max_LND	Post_Avg_LND	Post_Min_LND	duration_secs
21:23:13	15.06.2015	h264ref/specrand.s	61	0	2	0	0	2	41	23	5	41	23	5	41	23	5	1	1	1	41	23	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09406	61	0	2	0	0	2	41	23	5	41	23	5	41	23	5	1	1	1	41	23	5	0	0	0	0	0	0	0	0	0	00:00:00.008
21:23:13	15.06.2015	libquantum/qft.s	106	0	2	4	0	2	46	45.5	45	46	45.5	45	46	45.5	45	1	1	1	46	45.5	45	3	2.5	2	0	0	0	2	1.5	1	0	0	0	0	0	0.133733	106	0	2	4	0	2	46	45.5	45	46	45.5	45	46	45.5	45	1	1	1	46	45.5	45	3	2.5	2	0	0	0	2	1.5	1	00:00:00.018
21:23:13	15.06.2015	libquantum/classic.s	252	0	5	1	0	5	102	40.4	21	102	40.4	21	102	40.4	21	1	1	1	102	40.4	21	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0.174579	252	0	5	1	0	5	102	40.4	21	102	40.4	21	102	40.4	21	1	1	1	102	40.4	21	1	1	1	0	0	0	1	1	1	00:00:00.030
21:23:13	15.06.2015	libquantum/qec.s	678	0	8	41	0	8	228	77.875	10	228	77.875	10	228	77.875	10	4	1.875	1	228	77.875	10	3	2.07317	1	2	0.243902	0	1	0.414634	0	0	7	7	4	3	3.13101	757	0	8	37	0	8	252	87.75	10	252	87.75	10	252	87.75	10	2	1.375	1	252	87.75	10	3	2	1	1	0.108108	0	1	0.459459	0	00:00:00.135
21:23:13	15.06.2015	libquantum/oaddn.s	938	0	10	99	0	10	201	90.9	19	201	90.9	19	201	90.9	19	3	2	1	201	90.9	19	8	3.46465	2	1	0.010101	0	1	0.121212	0	0	10	10	6	6	17.0576	1081	0	10	95	0	10	201	105.2	23	201	105.2	23	201	105.2	23	4	1.6	1	201	105.2	23	7	3.41053	2	1	0.0105263	0	1	0.105263	0	00:00:00.163
21:23:13	15.06.2015	libquantum/version.s	8	0	1	0	0	1	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.568943	8	0	1	0	0	1	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2	0	0	0	0	0	0	0	0	0	00:00:00.010
21:23:13	15.06.2015	libquantum/expn.s	81	0	1	2	0	1	68	68	68	68	68	68	68	68	68	1	1	1	68	68	68	5	3.5	2	0	0	0	1	0.5	0	0	0	0	0	0	0.088429	81	0	1	2	0	1	68	68	68	68	68	68	68	68	68	1	1	1	68	68	68	5	3.5	2	0	0	0	1	0.5	0	00:00:00.009
21:23:13	15.06.2015	libquantum/specrand.s	61	0	2	0	0	2	41	23	5	41	23	5	41	23	5	1	1	1	41	23	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.086309	61	0	2	0	0	2	41	23	5	41	23	5	41	23	5	1	1	1	41	23	5	0	0	0	0	0	0	0	0	0	00:00:00.010
21:23:13	15.06.2015	libquantum/omuln.s	252	0	4	17	0	4	86	58.25	27	86	58.25	27	86	58.25	27	3	2	1	86	58.25	27	5	3.94118	2	0	0	0	1	0.411765	0	0	4	4	2	2	2.84217	257	0	4	14	0	4	87	59.5	27	87	59.5	27	87	59.5	27	2	1.5	1	87	59.5	27	5	3.92857	2	0	0	0	1	0.5	0	00:00:00.034
21:23:13	15.06.2015	gromacs/do_fit.s	1712	0	13	22	0	8	556	94.6923	5	556	94.6923	5	556	94.6923	5	5	1.61538	1	556	94.6923	5	6	3.36364	1	5	0.727273	0	2	0.409091	0	0	13	13	7	6	1236.29	1791	0	9	15	0	8	708	146	5	708	146	5	708	146	5	5	1.55556	1	708	146	5	6	4.06667	1	5	1.06667	0	2	0.333333	0	00:00:02.2646
21:23:16	15.06.2015	gromacs/pullinit.s	2383	0	11	97	0	1	1114	170.091	16	1114	170.091	16	1114	170.091	16	13	2.63636	1	1114	170.091	16	8	3.36082	1	4	1	0	2	0.360825	0	0	28	28	25	3	73262.5	2288	0	2	46	0	1	1718	917.5	117	1718	917.5	117	1718	917.5	117	3	2	1	1718	917.5	117	6	3.73913	1	4	1.45652	0	1	0.195652	0	00:01:28.88343
21:24:44	15.06.2015	gromacs/nsgrid.s	2095	0	15	52	0	12	241	125.4	19	241	125.4	19	241	125.4	19	6	1.53333	1	241	125.4	19	7	3.63462	1	3	0.692308	0	4	0.653846	0	0	11	11	10	1	64.9216	2159	0	13	39	0	12	281	149.769	19	281	149.769	19	281	149.769	19	1	1	1	281	149.769	19	5	3.30769	1	3	0.615385	0	4	0.615385	0	00:00:00.551
21:24:45	15.06.2015	gromacs/ionize.s	4132	0	19	129	0	13	1313	136.316	5	1313	136.316	5	1313	136.316	5	15	2.78947	1	1313	136.316	5	7	2.36434	0	5	0.27907	0	2	0.364341	0	0	40	40	35	6	19316.3	4606	0	14	104	0	13	1432	219.214	14	1432	219.214	14	1432	219.214	14	2	1.35714	1	1432	219.214	14	7	2.56731	0	5	0.346154	0	2	0.375	0	00:00:44.44866
21:25:30	15.06.2015	gromacs/names.s	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.211032	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00:00:00.009
21:25:30	15.06.2015	gromacs/edsam.s	8091	0	38	258	0	31	829	169.921	12	829	169.921	12	829	169.921	12	14	3.65789	1	829	169.921	12	6	3.06202	1	5	0.527132	0	2	0.209302	0	0	108	108	64	29	15156	8414	0	31	198	0	31	738	220.065	12	738	220.065	12	738	220.065	12	7	1.93548	1	738	220.065	12	5	3.25758	1	5	0.873737	0	2	0.166667	0	00:00:23.23924
21:25:53	15.06.2015	gromacs/buffer.s	191	0	4	4	0	4	96	41.75	15	96	41.75	15	96	41.75	15	4	1.75	1	96	41.75	15	3	1.5	1	0	0	0	1	1	1	0	3	3	2	1	0.488742	215	0	4	2	0	4	108	47.75	15	108	47.75	15	108	47.75	15	2	1.25	1	108	47.75	15	3	2	1	0	0	0	1	1	1	00:00:00.027
21:25:54	15.06.2015	gromacs/pullutil.s	2299	0	15	45	0	7	467	117.6	12	467	117.6	12	467	117.6	12	6	2.4	1	467	117.6	12	6	2.62222	1	4	0.333333	0	2	0.8	0	0	29	29	28	1	255.867	2723	0	8	15	0	7	667	277.5	12	667	277.5	12	667	277.5	12	1	1	1	667	277.5	12	5	3.13333	1	4	1	0	2	0.933333	0	00:00:01.1345
21:25:55	15.06.2015	gromacs/memdump.s	236	0	3	9	0	1	118	65.3333	23	118	65.3333	23	118	65.3333	23	2	1.33333	1	118	65.3333	23	3	2.55556	1	1	0.111111	0	1	0.555556	0	0	3	3	2	1	2.36899	185	0	2	5	0	1	123	73	23	123	73	23	123	73	23	1	1	1	123	73	23	3	2.2	1	1	0.2	0	1	0.6	0	00:00:00.040
21:25:55	15.06.2015	gromacs/calch.s	5007	1	7	54	1	1	1176	198.571	5	1176	198.571	5	1176	198.571	5	5	2.57143	1	1176	198.571	5	3	1.27778	1	1	0.0185185	0	1	0.62963	0	1	17	16	15	1	609.845	5142	1	3	41	1	1	1456	509.667	5	1456	509.667	5	1456	509.667	5	1	1	1	1456	509.667	5	3	1.09756	1	1	0.0243902	0	1	0.731707	0	00:00:07.7077
