time_start	date_start	test_file	Pre_total_node_count	Pre_tot_phi_node_count	Pre_tot_lambda_node_count	Pre_tot_apply_node_count	Pre_tot_lambdas_inside_phis	Pre_lambdas_exported	Pre_Max_NC_for_exported_lambdas	Pre_Avg_NC_for_exported_lambdas	Pre_Min_NC_for_exported_lambdas	Pre_Max_SCC_for_exported_lambdas	Pre_Avg_SCC_for_exported_lambdas	Pre_Min_SCC_for_exported_lambdas	Pre_Max_NC	Pre_Avg_NC	Pre_Min_NC	Pre_Max_SCC	Pre_Avg_SCC	Pre_Min_SCC	Pre_Max_CIN	Pre_Avg_CIN	Pre_Min_CIN	Pre_Max_PC	Pre_Avg_PC	Pre_Min_PC	Pre_Max_CPC	Pre_Avg_CPC	Pre_Min_CPC	Pre_Max_LND	Pre_Avg_LND	Pre_Min_LND	loop_breakers_size	static_known_applies	static_known_applies_minus_loop_breakers	inlines_performed	applies_after_inlining	wall_clock_ms	Post_total_node_count	Post_tot_phi_node_count	Post_tot_lambda_node_count	Post_tot_apply_node_count	Post_tot_lambdas_inside_phis	Post_lambdas_exported	Post_Max_NC_for_exported_lambdas	Post_Avg_NC_for_exported_lambdas	Post_Min_NC_for_exported_lambdas	Post_Max_SCC_for_exported_lambdas	Post_Avg_SCC_for_exported_lambdas	Post_Min_SCC_for_exported_lambdas	Post_Max_NC	Post_Avg_NC	Post_Min_NC	Post_Max_SCC	Post_Avg_SCC	Post_Min_SCC	Post_Max_CIN	Post_Avg_CIN	Post_Min_CIN	Post_Max_PC	Post_Avg_PC	Post_Min_PC	Post_Max_CPC	Post_Avg_CPC	Post_Min_CPC	Post_Max_LND	Post_Avg_LND	Post_Min_LND	duration_secs
09:49:29	15.06.2015	h264ref/specrand.s	61	0	2	0	0	2	41	23	5	41	23	5	41	23	5	1	1	1	41	23	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.162193	61	0	2	0	0	2	41	23	5	41	23	5	41	23	5	1	1	1	41	23	5	0	0	0	0	0	0	0	0	0	00:00:00.012
09:49:29	15.06.2015	libquantum/qft.s	106	0	2	4	0	2	46	45.5	45	46	45.5	45	46	45.5	45	1	1	1	46	45.5	45	3	2.5	2	0	0	0	2	1.5	1	0	0	0	0	0	0.277696	106	0	2	4	0	2	46	45.5	45	46	45.5	45	46	45.5	45	1	1	1	46	45.5	45	3	2.5	2	0	0	0	2	1.5	1	00:00:00.019
09:49:29	15.06.2015	libquantum/classic.s	252	0	5	1	0	5	102	40.4	21	102	40.4	21	102	40.4	21	1	1	1	102	40.4	21	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0.174824	252	0	5	1	0	5	102	40.4	21	102	40.4	21	102	40.4	21	1	1	1	102	40.4	21	1	1	1	0	0	0	1	1	1	00:00:00.023
09:49:29	15.06.2015	libquantum/qec.s	678	0	8	41	0	8	228	77.875	10	228	77.875	10	228	77.875	10	4	1.875	1	228	77.875	10	3	2.07317	1	2	0.243902	0	1	0.414634	0	0	7	7	4	3	3.58195	740	0	8	37	0	8	252	85.625	10	252	85.625	10	252	85.625	10	2	1.375	1	252	85.625	10	3	2.02703	1	2	0.162162	0	1	0.459459	0	00:00:00.129
09:49:29	15.06.2015	libquantum/oaddn.s	938	0	10	99	0	10	201	90.9	19	201	90.9	19	201	90.9	19	3	2	1	201	90.9	19	8	3.46465	2	1	0.010101	0	1	0.121212	0	0	10	10	6	6	10.2902	1069	0	10	94	0	10	201	104	23	201	104	23	201	104	23	4	1.6	1	201	104	23	7	3.43617	2	1	0.0106383	0	1	0.106383	0	00:00:00.147
09:49:29	15.06.2015	libquantum/version.s	8	0	1	0	0	1	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033465	8	0	1	0	0	1	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2	0	0	0	0	0	0	0	0	0	00:00:00.006
09:49:29	15.06.2015	libquantum/expn.s	81	0	1	2	0	1	68	68	68	68	68	68	68	68	68	1	1	1	68	68	68	5	3.5	2	0	0	0	1	0.5	0	0	0	0	0	0	0.138267	81	0	1	2	0	1	68	68	68	68	68	68	68	68	68	1	1	1	68	68	68	5	3.5	2	0	0	0	1	0.5	0	00:00:00.019
09:49:29	15.06.2015	libquantum/specrand.s	61	0	2	0	0	2	41	23	5	41	23	5	41	23	5	1	1	1	41	23	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.078929	61	0	2	0	0	2	41	23	5	41	23	5	41	23	5	1	1	1	41	23	5	0	0	0	0	0	0	0	0	0	00:00:00.007
09:49:29	15.06.2015	libquantum/omuln.s	252	0	4	17	0	4	86	58.25	27	86	58.25	27	86	58.25	27	3	2	1	86	58.25	27	5	3.94118	2	0	0	0	1	0.411765	0	0	4	4	2	2	2.40011	257	0	4	14	0	4	87	59.5	27	87	59.5	27	87	59.5	27	2	1.5	1	87	59.5	27	5	3.92857	2	0	0	0	1	0.5	0	00:00:00.028
09:49:29	15.06.2015	gromacs/do_fit.s	1712	0	13	22	0	8	556	94.6923	5	556	94.6923	5	556	94.6923	5	5	1.61538	1	556	94.6923	5	6	3.36364	1	5	0.727273	0	2	0.409091	0	0	13	13	12	1	1200.92	1805	0	8	10	0	8	708	166.125	20	708	166.125	20	708	166.125	20	2	1.125	1	708	166.125	20	5	3.6	1	5	1	0	1	0.3	0	00:00:02.2481
